NU_ANO,CO_CURSO,CO_IES,CO_GRUPO,QE_I28,QE_I29,QE_I30,QE_I34,QE_I37,QE_I41,QE_I43,QE_I44,QE_I47,QE_I48,QE_I49,QE_I57,QE_I61,QE_I62,QE_I63
2019,1140035,2,6307,5.0,4.0,3.0,6.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0
2019,1140035,2,6307,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,3.0,4.0,6.0,6.0,5.0,6.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,6.0,5.0,5.0,6.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0
2019,1140035,2,6307,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
2019,1140035,2,6307,5.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0,6.0,5.0,6.0,5.0,5.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,6.0,4.0,3.0,3.0,3.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,4.0,5.0
2019,1140035,2,6307,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,4.0,6.0,5.0,6.0,6.0,5.0
2019,1140035,2,6307,6.0,5.0,6.0,6.0,5.0,6.0,4.0,4.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0
2019,1140035,2,6307,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,3.0,1.0,1.0,1.0,5.0,6.0,6.0,3.0,2.0,2.0,2.0
2019,1140035,2,6307,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,1.0,1.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2019,1140035,2,6307,6.0,4.0,5.0,6.0,5.0,3.0,5.0,6.0,5.0,5.0,4.0,4.0,6.0,4.0,4.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,2.0,2.0,6.0
2019,1140035,2,6307,6.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,6.0,5.0,5.0,6.0,5.0,4.0,4.0
2019,1140035,2,6307,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,8.0,5.0,8.0,5.0,6.0,6.0,6.0,6.0,2.0,2.0,6.0,6.0,5.0,5.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,6.0,4.0,4.0,5.0,5.0,6.0,3.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,2.0
2019,1140035,2,6307,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140035,2,6307,4.0,5.0,5.0,4.0,2.0,6.0,6.0,6.0,6.0,3.0,5.0,3.0,4.0,4.0,4.0
2019,1140035,2,6307,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0
2019,1140088,2,19,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0
2019,1140088,2,19,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140088,2,19,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0
2019,1140088,2,19,6.0,2.0,6.0,3.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0
2019,1140088,2,19,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0
2019,1140088,2,19,6.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,5.0,4.0,6.0,5.0,6.0,5.0,6.0
2019,1140088,2,19,6.0,5.0,8.0,5.0,6.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,4.0,4.0,5.0
2019,1140088,2,19,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0
2019,1140088,2,19,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,3.0,6.0,6.0,6.0
2019,1140088,2,19,2.0,6.0,5.0,6.0,1.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0
2019,1140088,2,19,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140088,2,19,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,5.0,5.0
2019,1140088,2,19,6.0,6.0,6.0,6.0,6.0,5.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0
2019,1140088,2,19,6.0,6.0,8.0,6.0,6.0,6.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
2019,1140088,2,19,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140088,2,19,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0
2019,1140088,2,19,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140088,2,19,6.0,5.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140088,2,19,6.0,4.0,5.0,6.0,5.0,4.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0
2019,1140088,2,19,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140088,2,19,5.0,5.0,5.0,6.0,5.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2019,1140088,2,19,5.0,6.0,3.0,4.0,2.0,1.0,5.0,6.0,3.0,3.0,5.0,5.0,5.0,2.0,6.0
2019,1140088,2,19,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140088,2,19,6.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0
2019,1140088,2,19,6.0,6.0,4.0,6.0,5.0,3.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0
2019,1140088,2,19,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140088,2,19,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140088,2,19,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1140088,2,19,6.0,5.0,6.0,6.0,5.0,3.0,1.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0,5.0
2019,1140088,2,19,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,4.0,5.0,4.0,6.0,6.0,8.0,6.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0
2019,1192413,2,3501,5.0,5.0,5.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,4.0,5.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,3.0,4.0,6.0
2019,1192413,2,3501,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,8.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0
2019,1192413,2,3501,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0
2019,1192413,2,3501,6.0,6.0,6.0,5.0,5.0,5.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,5.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,4.0,5.0,5.0,6.0,6.0,2.0,6.0,5.0,5.0,6.0,2.0,3.0,1.0
2019,1192413,2,3501,5.0,5.0,6.0,6.0,4.0,5.0,6.0,6.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0
2019,1192413,2,3501,5.0,2.0,4.0,4.0,4.0,6.0,6.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0,4.0,3.0
2019,1192413,2,3501,6.0,6.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,4.0,5.0,4.0,4.0,5.0,6.0,2.0,3.0,3.0,4.0,4.0,6.0,4.0,2.0,3.0
2019,1192413,2,3501,5.0,4.0,4.0,6.0,3.0,3.0,6.0,6.0,4.0,3.0,5.0,6.0,4.0,4.0,5.0
2019,1192413,2,3501,6.0,5.0,3.0,6.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,5.0,4.0,4.0,5.0,3.0,5.0,3.0,2.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,4.0,5.0,5.0,5.0,3.0,4.0,1.0,5.0,4.0,6.0,6.0,5.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,5.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,4.0,5.0,5.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,5.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,4.0,6.0,4.0,6.0,3.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,4.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0
2019,1192413,2,3501,4.0,3.0,4.0,5.0,3.0,6.0,6.0,6.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0
2019,1192413,2,3501,5.0,5.0,6.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,5.0,5.0,4.0,5.0,4.0,6.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0
2019,1192413,2,3501,5.0,4.0,3.0,6.0,6.0,6.0,5.0,5.0,6.0,4.0,5.0,6.0,3.0,3.0,3.0
2019,1192413,2,3501,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0
2019,1192413,2,3501,5.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0
2019,1192413,2,3501,6.0,6.0,3.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,3.0,4.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,5.0,6.0,6.0,4.0,6.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0
2019,1192413,2,3501,6.0,6.0,4.0,6.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,4.0,4.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,4.0,6.0,5.0,6.0,4.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0
2019,1192413,2,3501,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0
2019,1192413,2,3501,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0
2019,1192413,2,3501,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,5.0,6.0,4.0,6.0,4.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0
2019,1192413,2,3501,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,5.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0
2019,1192413,2,3501,4.0,4.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0
2019,1192413,2,3501,5.0,5.0,5.0,5.0,4.0,6.0,6.0,6.0,4.0,5.0,6.0,4.0,5.0,4.0,5.0
2019,1192413,2,3501,6.0,3.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0
2019,1192413,2,3501,6.0,4.0,3.0,2.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0
2019,1192413,2,3501,6.0,6.0,6.0,6.0,5.0,6.0,5.0,4.0,4.0,4.0,5.0,6.0,6.0,5.0,6.0
2019,1192414,2,6008,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192414,2,6008,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,4.0,4.0
2019,1192414,2,6008,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0
2019,1192414,2,6008,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192414,2,6008,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192414,2,6008,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0
2019,1192414,2,6008,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0
2019,1192414,2,6008,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192414,2,6008,6.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0
2019,1192414,2,6008,6.0,4.0,4.0,6.0,6.0,4.0,6.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0
2019,1192414,2,6008,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192414,2,6008,6.0,6.0,5.0,6.0,6.0,6.0,5.0,4.0,5.0,4.0,6.0,6.0,6.0,4.0,4.0
2019,1192414,2,6008,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0
2019,1192414,2,6008,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192414,2,6008,5.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,1.0,3.0
2019,1192414,2,6008,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192414,2,6008,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192414,2,6008,6.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,1192414,2,6008,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0
